                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1013,                 5.9543,                      0,                 3.2873,                 2.4153,                0.34575,                0.38889,                0.29724,                0.06649,                0.11201,                0.16667,                0.04481,                0.00518,                 2.8706,                 5.3951,                      0,                 2.1653,                   4.39,                      0,                      0,                      0
                      2,                 2.9024,                 6.5065,                      0,                 4.0217,                 3.3723,                0.44851,                0.49713,                0.38486,                0.09471,                 0.0335,                0.27778,                 0.0436,                0.00722,                  2.833,                 5.3747,                      0,                 2.1042,                 4.4095,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 2.3735,                 6.2682,                      0,                 3.6508,                 2.7023,                0.42754,                    0.5,                 0.4305,                0.11386,                0.02295,                0.77778,                0.03749,                0.00572,                 2.7963,                 5.3401,                      0,                 1.9672,                 4.4434,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 1.8796,                 6.1062,                      0,                 2.1539,                 2.1923,                0.46199,                0.61111,                0.44165,                 0.1099,                0.02097,                0.72222,                0.03578,                0.00555,                 2.8304,                 5.3254,                      0,                 1.8184,                 4.4768,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 1.4627,                 6.0892,                      0,                 1.5816,                 2.0888,                0.50987,                0.61111,                0.47919,                0.10368,                 0.0847,                0.22222,                0.04311,                0.00572,                 2.9171,                 5.2968,                      0,                 1.7101,                 4.5846,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                0.87636,                 5.8334,                      0,                 0.9596,                 1.3234,                0.72788,                 0.5952,                 0.6281,                 0.1203,                0.02964,                0.27778,                0.02799,                0.00423,                 2.9632,                 5.2723,                      0,                 1.6252,                 4.6704,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                0.94438,                 5.5848,                      0,                0.87694,                 1.5232,                0.67839,                0.70379,                0.67775,                0.13261,                0.02048,                0.11111,                0.02864,                0.00443,                 2.9418,                 5.2205,                      0,                 1.6441,                 4.8099,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                0.73209,                 5.6673,                      0,                0.66478,                  1.426,                0.69042,                0.77778,                0.69384,                0.13443,                0.03052,                0.11111,                0.02235,                0.00357,                  2.924,                 5.2114,                      0,                 1.6682,                 4.9056,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                0.76279,                 5.7582,                      0,                0.67813,                 1.4047,                0.69046,                0.77778,                0.69906,                0.12898,                0.05938,                0.16667,                0.02279,                0.00323,                 2.8935,                 5.2036,                      0,                  1.752,                  4.885,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                0.96655,                 5.5893,                      0,                0.65807,                 1.4511,                  0.864,                0.77778,                0.72989,                0.13539,                0.07228,                0.16667,                0.04081,                0.00466,                 2.8732,                 5.2041,                      0,                 1.8115,                 4.8386,              1.962e-05,              1.962e-05,              1.962e-05
